id,player_id,player_name,team,season,split_type,split_category,games,completions,attempts,completion_pct,pass_yards,pass_tds,interceptions,rating,sacks,sack_yards,net_yards_per_attempt,scraped_at,updated_at,rush_attempts,rush_yards,rush_tds,fumbles,fumbles_lost,fumbles_forced,fumbles_recovered,fumble_recovery_yards,fumble_recovery_tds,incompletions,wins,losses,ties,attempts_per_game,yards_per_game,rush_attempts_per_game,rush_yards_per_game,total_tds,points
76,joeburrow,Joe Burrow,CIN,2024,other,Opp 49-20,0,157,219,71.69,1693,9,6,96.30,13,-77,7.70,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
77,joeburrow,Joe Burrow,CIN,2024,other,Red Zone,0,71,122,58.20,446,30,0,105.40,9,-63,3.70,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
78,joeburrow,Joe Burrow,CIN,2024,other,Opp 1-10,0,35,71,49.30,141,23,0,95.20,5,-43,2.00,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
79,joeburrow,Joe Burrow,CIN,2024,other,Leading,0,157,237,66.24,1657,11,5,93.10,18,-134,7.00,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
80,joeburrow,Joe Burrow,CIN,2024,other,Tied,0,143,197,72.59,1514,14,2,114.10,16,-73,7.70,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
81,joeburrow,Joe Burrow,CIN,2024,other,Trailing,0,160,218,73.39,1747,18,2,120.30,14,-71,8.00,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
82,joeburrow,Joe Burrow,CIN,2024,other,1st Qtr,0,113,151,74.83,1043,7,1,105.90,5,-24,6.90,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
83,joeburrow,Joe Burrow,CIN,2024,other,2nd Qtr,0,133,196,67.86,1350,13,1,107.30,20,-92,6.90,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
84,joeburrow,Joe Burrow,CIN,2024,other,3rd Qtr,0,99,134,73.88,1061,10,2,115.30,9,-73,7.90,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
85,joeburrow,Joe Burrow,CIN,2024,other,4th Qtr,0,108,163,66.26,1367,12,5,104.00,12,-82,8.40,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
86,joeburrow,Joe Burrow,CIN,2024,other,OT,0,7,8,87.50,97,1,0,156.80,2,-7,12.10,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
87,joeburrow,Joe Burrow,CIN,2024,other,1st Half,0,246,347,70.89,2393,20,2,106.70,25,-116,6.90,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
88,joeburrow,Joe Burrow,CIN,2024,other,2nd Half,0,207,297,69.70,2428,22,7,109.10,21,-155,8.20,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
89,joeburrow,Joe Burrow,CIN,2024,other,"Leading, < 2 min to go",0,1,2,50.00,32,1,0,135.40,0,0,16.00,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
90,joeburrow,Joe Burrow,CIN,2024,other,"Leading, < 4 min to go",0,5,8,62.50,84,1,1,97.90,2,-20,10.50,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
91,joeburrow,Joe Burrow,CIN,2024,other,"Tied, < 2 min to go",0,4,11,36.36,62,1,0,86.20,1,-7,5.60,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
92,joeburrow,Joe Burrow,CIN,2024,other,"Tied, < 4 min to go",0,8,15,53.33,121,1,0,102.40,2,-15,8.10,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
93,joeburrow,Joe Burrow,CIN,2024,other,"Trailing, < 2 min to go",0,9,18,50.00,104,1,0,86.30,0,0,5.80,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
94,joeburrow,Joe Burrow,CIN,2024,other,"Trailing, < 4 min to go",0,15,27,55.56,185,2,0,101.60,0,0,6.90,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
95,joeburrow,Joe Burrow,CIN,2024,other,Huddle,0,441,626,70.45,4715,42,9,108.50,45,-262,7.50,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
96,joeburrow,Joe Burrow,CIN,2024,other,No Huddle,0,19,26,73.08,203,1,0,108.30,3,-16,7.80,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
97,joeburrow,Joe Burrow,CIN,2024,other,Shotgun,0,415,588,70.58,4468,41,8,110.10,43,-229,7.60,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
98,joeburrow,Joe Burrow,CIN,2024,other,Under Center,0,45,64,70.31,450,2,1,93.90,5,-49,7.00,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
99,joeburrow,Joe Burrow,CIN,2024,other,play action,0,45,68,66.18,471,3,1,94.70,6,-32,6.90,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
100,joeburrow,Joe Burrow,CIN,2024,other,non-play action,0,415,584,71.06,4447,40,8,110.20,42,-246,7.60,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
101,joeburrow,Joe Burrow,CIN,2024,other,rpo,0,64,89,71.91,819,5,0,119.10,5,-19,9.20,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
102,joeburrow,Joe Burrow,CIN,2024,other,non-rpo,0,396,563,70.34,4099,38,9,106.90,43,-259,7.30,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
103,joeburrow,Joe Burrow,CIN,2024,other,< 2.5 seconds,0,340,462,73.59,3147,27,6,105.90,24,-147,6.80,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
104,joeburrow,Joe Burrow,CIN,2024,other,2.5+ seconds,0,120,190,63.16,1771,16,3,115.00,24,-131,9.30,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
105,joeburrow,Joe Burrow,CIN,2024,basic_splits,NFL,17,460,652,70.55,4918,43,9,108.50,48,278,7.54,2025-07-08 01:10:59.324753+00,2025-07-08 05:10:59.652076+00,,,,,,,,,,,,,,,,,,,
106,joeburrow,Joe Burrow,CIN,2024,basic_splits,Home,8,223,299,74.58,2338,23,4,116.90,25,160,7.82,2025-07-08 01:10:59.324753+00,2025-07-08 05:10:59.652076+00,,,,,,,,,,,,,,,,,,,
107,joeburrow,Joe Burrow,CIN,2024,basic_splits,Road,9,237,353,67.14,2580,20,5,101.50,23,118,7.31,2025-07-08 01:10:59.324753+00,2025-07-08 05:10:59.652076+00,,,,,,,,,,,,,,,,,,,
108,joeburrow,Joe Burrow,CIN,2024,basic_splits,Win,9,241,329,73.25,2453,22,6,108.90,26,163,7.46,2025-07-08 01:10:59.324753+00,2025-07-08 05:10:59.652076+00,,,,,,,,,,,,,,,,,,,
109,joeburrow,Joe Burrow,CIN,2024,basic_splits,Loss,8,219,323,67.80,2465,21,3,108.20,22,115,7.63,2025-07-08 01:10:59.324753+00,2025-07-08 05:10:59.652076+00,,,,,,,,,,,,,,,,,,,
110,joeburrow,Joe Burrow,CIN,2024,basic_splits,0-7 points,11,317,450,70.44,3470,29,4,110.70,37,189,7.71,2025-07-08 01:10:59.324753+00,2025-07-08 05:10:59.652076+00,,,,,,,,,,,,,,,,,,,
111,joeburrow,Joe Burrow,CIN,2024,basic_splits,8-14 points,3,67,96,69.79,711,5,3,95.40,5,27,7.41,2025-07-08 01:10:59.324753+00,2025-07-08 05:10:59.652076+00,,,,,,,,,,,,,,,,,,,
112,joeburrow,Joe Burrow,CIN,2024,basic_splits,15+ points,3,76,106,71.70,737,9,2,111.20,6,62,6.95,2025-07-08 01:10:59.324753+00,2025-07-08 05:10:59.652076+00,,,,,,,,,,,,,,,,,,,
113,joeburrow,Joe Burrow,CIN,2024,basic_splits,September,4,95,134,70.90,978,7,1,105.90,8,34,7.30,2025-07-08 01:10:59.324753+00,2025-07-08 05:10:59.652076+00,,,,,,,,,,,,,,,,,,,
